# Inflected form	Frequency	DDW
depressive symptoms	11	0
systemic inflammation	7	0
mast cell	7	0
brachial artery	6	0
strabismus surgery	5	0
leukocyte count	5	0
% CI	5	0
cryopreserved rabbit	5	0
type IC	4	0
ALS patients	4	0
lymphoplasmacytic cell	4	0
choroidal excavation	4	0
focal choroidal excavation	4	0
back pain patients	4	0
significant decrease	4	0
choroidal neovascularization	4	0
dialysis patients	4	0
DNA repair	4	0
pain patients	4	0
extent of fibrosis	4	0
intake of pioglitazone	3	0
M. tuberculosis	3	0
standard therapy	3	0
NHEJ-mediated DNA repair	3	0
SR resection	3	0
current study	3	0
lymphoplasmacytic cell densities	3	0
normal leukocyte	3	0
chronic back pain patients	3	0
non-white patients	3	0
cryopreserved rabbit AM	3	0
mast cell infiltration	3	0
heart failure	3	0
significant increase	3	0
coherence tomography angiography	3	0
optical coherence tomography angiography	3	0
non-white dialysis patients	3	0
coronary heart	3	0
tomography angiography	3	0
inflammatory markers	3	0
different biochemical parameters	2	0
healthy controls	2	0
amniotic membrane	2	0
gut microbiota	2	0
experimental strabismus surgery	2	0
SR muscle	2	0
Mast cell	2	0
immune response	2	0
degree of postoperative inflammatory infiltration	2	0
Achilles tendon	2	0
interstitial cystitis	2	0
coronary heart disease	2	0
cord stimulation	2	0
neutrophil influx	2	0
white patients	2	0
biochemical parameters	2	0
non-Hunner type IC	2	0
blood pressure	2	0
neutrophil recruitment	2	0
plaque composition	2	0
anti-inflammatory cytokines	2	0
study group	2	0
clinical trials	2	0
postoperative inflammatory infiltration	2	0
disease progression	2	0
fusion protein	2	0
early stages	2	0
micronome of FSK-MSCs	2	0
Hunner type IC	2	0
Ku80/DNA-PKcs interaction	2	0
immunomodulatory properties	2	0
severe burn	2	0
age-related conditions	2	0
CLEC9A-Fc fusion protein	2	0
cardiovascular disease	2	0
adenosine A2A receptor	2	0
total cholesterol	2	0
inflammatory diseases	2	0
left eye	2	0
A2A receptor	2	0
control group	2	0
postoperative inflammation	2	0
fecal microbiota	2	0
spinal cord stimulation	2	0
inflammatory response	2	0
vitamin D	2	0
endothelial dysfunction	2	0
smooth muscle cells	2	0
biopsy specimens	2	0
Gene expression	2	0
Ku80 cleavage	2	0
frequency stimulation	2	0
BA concurrent	2	0
normal bladder	2	0
Ku80 ΔC6	2	0
coronary plaque composition	2	0
endothelium-dependent vasodilation	2	0
metabolic disorders	2	0
normal leukocyte counts	2	0
lamina propria	2	0
inflammatory infiltration	2	0
outcome parameters	2	0
older adults	2	0
bronchial asthma	2	0
neutrophil functions	2	0
